id,category,phenomenon,hook,explanation,status,source,source_url,question_type,closing_question,image_keyword
18,사회·심리,무섭고 불편한데 자꾸 보게 되는 심리,"사고 영상·잔혹한 뉴스, 보기 싫다면서도 결국 클릭하잖아요","사람은 죽음·폭력 이미지를 ‘일부러’ 선택한다는 게 실험으로 확인됨(병리가 아니라 정상 심리). 왜인지는 ①위협을 안전하게 학습 ②자극 추구 두 가설이 경합 중.",논쟁중,"Oosterwijk, PLOS ONE (2017)",https://pmc.ncbi.nlm.nih.gov/articles/PMC5500011/,편가르기,"당신은 무서운 거 ‘굳이 보는 편’ vs ‘절대 안 보는 편’?","true crime, horror peeking, dark curiosity"
19,자연·물리,하늘은 왜 파란가,"맑은 날 고개 들면 온통 파란데, 왜 하필 파랑일까?","햇빛이 공기 분자에 부딪혀 흩어질 때(레일리 산란) 파장이 짧은 파란빛이 훨씬 많이 흩어져 하늘로 퍼진다(정설). 노을이 붉은 건 빛이 대기를 길게 지나며 파란빛이 다 빠지고 붉은빛만 남아서.",정설,"NASA Space Place",https://spaceplace.nasa.gov/blue-sky/en/,경험소환,"노을이 유독 빨갛게 타오른 날, 기억나는 순간 있어요?","blue sky clouds, sunset horizon, sunlight"
20,자연·물리,별은 왜 깜빡이나,"별은 깜빡이는데 옆에 뜬 행성은 안 깜빡인다, 알고 있었나요?","별빛이 지구 대기의 온도·밀도 다른 공기층을 지나며 굴절돼 밝기가 빠르게 변하는 것(대기 섬광). 별은 점광원이라 흔들리고, 행성은 작은 원반이라 상쇄돼 거의 안 깜빡인다. 대기 밖에선 별도 안 깜빡임.",정설,"Sky & Telescope / 천문학 정설",https://skyandtelescope.org/astronomy-resources/why-do-stars-twinkle/,통념반전,"밤하늘에서 ‘안 깜빡이는 밝은 별’은 사실 별이 아닐 수도 있대요. 믿겨요?","night sky stars, twinkling stars, telescope"
21,자연·물리,뜨거운 물이 더 빨리 언다?(음펨바 효과),"""따뜻한 물을 얼리면 더 빨리 언다""는 말, 들어본 적 있죠?","유명하지만 2016년 정밀 통제 실험은 ‘뜨거운 물이 더 빨리 언다는 의미 있는 증거가 없고 잘 정의된 현상이 아니다’라고 결론. 단 조건 정의에 따라 다르고 모형계 연구로 논쟁이 이어지는 중.",논쟁중,"Burridge & Linden, Scientific Reports (2016)",https://www.nature.com/articles/srep37665,추측초대,"직접 해본다면 뜨거운 물 vs 찬물, 뭐가 먼저 얼 것 같아요?","ice cubes freezer, hot water steam, water freezing"
22,자연·물리,젖으면 왜 색이 진해 보이나,"흰 티셔츠에 물 튀면 그 부분만 확 진해지는 거, 다들 겪어봤죠","물이 섬유·종이 표면의 공기 틈을 채우면 표면이 매끈해지고, 빛이 물-공기 경계에서 갇혀 안쪽에서 더 흡수된다. 눈으로 돌아오는 빛이 줄어 진하게 보이는 것 — 실제 색소는 그대로(정설).",정설,"Bohren, Applied Optics (1986)",https://opg.optica.org/ao/abstract.cfm?uri=ao-27-7-1278,경험소환,"‘젖으니 완전 딴 색 됐네’ 했던 거 뭐 있어요?","wet fabric, water droplet cloth, wet paper"
23,자연·물리,고양이 골골거림의 비밀,"고양이 안고 있으면 가슴에서 드르륵 떨림, 그거 어떻게 내는 걸까?","후두 근육이 초당 25~150회 진동해 나는 소리. 오래 ‘신경 진동자’설이 정설처럼 통했지만 2023년 연구는 신경 입력 없이 후두만으로도 그 주파수가 나는 걸 발견해 통념에 도전. 이유도 만족·유대부터 통증완화까지 단정 어려움.",논쟁중,"Herbst et al., Current Biology (2023)",https://www.cell.com/current-biology/fulltext/S0960-9822(23)01230-7,통념반전,"‘골골=행복’으로만 알았는데, 아플 때도 골골거린대요. 알았어요?","cat purring, cat relaxed lap, kitten cuddle"
24,사회·심리,웃음도 전염된다,"옆에서 빵 터지면 나도 모르게 입꼬리 올라간 적 있죠","웃음이 전염된다는 현상 자체는 정설(녹음된 웃음만으로도 따라 웃음). 단 그 원인이 ‘거울뉴런’이라는 설명은 대중과학이 과장한 가설 단계로, 인간 거울뉴런의 직접 증거는 아직 약하다.",논쟁중,"Provine, American Scientist (1996)",https://www.researchgate.net/publication/319186265,통념반전,"‘거울뉴런 때문’이라는 말, 사실 학계에선 아직 논쟁 중이래요. 알았어요?","contagious laughter, friends laughing, group"
25,사회·심리,거울 속 얼굴이 사진보다 나아 보이는 이유,"거울 볼 땐 멀쩡한데 사진만 찍으면 왜 어색하지?","단순노출효과 — 매일 보는 ‘좌우반전된 거울 얼굴’에 익숙해 그게 낫게 느껴지고, 친구들은 반전 안 된 ‘진짜 얼굴’을 선호한다. 실험에서 본인은 거울상, 친구는 실제상을 골랐다(정설).",정설,"Mita, Dermer & Knight, JPSP (1977)",https://pmc.ncbi.nlm.nih.gov/articles/PMC3153757/,경험소환,"남들 눈에 진짜 내 얼굴은 사진 쪽이라는데… 받아들일 수 있어요?","woman face portrait, smiling person, selfie"
26,사회·심리,음악에 소름이 돋는 현상(프리송),"좋아하는 곡 그 한 소절에서 등골 쫙— 소름 돋는 순간","음악으로 소름이 돋을 때 뇌 보상회로에서 실제로 도파민이 분비된다. 절정 직전(기대)엔 미상핵, 절정 순간엔 측좌핵에서 분비돼 부위가 다르다. 추상적 보상이 도파민을 낸다는 첫 입증(정설).",정설,"Salimpoor et al., Nature Neuroscience (2011)",https://pubmed.ncbi.nlm.nih.gov/21217764/,경험소환,"당신한테 ‘소름 트리거’ 되는 그 노래 그 구간, 어디예요?","goosebumps skin, listening music, concert crowd"
27,사회·심리,배부른데 디저트는 들어가는 이유,"배불러 죽겠는데 디저트는 왜 또 들어가지?","두 갈래. ①감각특이적 포만감(짠맛에 질려도 새 단맛엔 식욕이 되살아남) ②2025년: 포만 상태에서 당을 먹으면 POMC 신경세포가 β-엔도르핀을 분비해 보상감을 일으킨다는 게 쥐+사람 뇌 스캔으로 확인되는 중.",유력가설,"Minère et al., Science (2025) / Max Planck",https://www.mpg.de/24159607/0211-neur-dessert-stomach-emerges-in-the-brain-153735-x,통념반전,"‘디저트 배는 따로 있다’는 농담, 진짜 뇌에 회로가 있대요. 알았어요?","dessert cake, sweet craving, ice cream"
